"policy"	"mutants"	"method"	"Prioritization"	"percent"	"testsuite"	"N"	"effectiveness"	"sd"	"se"	"ci"
"Masood2010Example1"	4	"spy"	"Random"	1	"set"	30	0.0333333333333333	0.126854065851231	0.023160277792655	0.0473680866615659
"Masood2010Example1"	4	"spy"	"Random"	5	"set"	30	0.75	0.146805054878676	0.0268028133709449	0.0548179083988072
"Masood2010Example1"	4	"spy"	"Random"	10	"set"	30	0.916666666666667	0.136668068397634	0.0249520613173476	0.0510326954385521
"Masood2010Example1"	4	"spy"	"Random"	15	"set"	30	0.941666666666667	0.107545766788019	0.0196350808113293	0.0401582493010018
"Masood2010Example1"	4	"spy"	"Random"	20	"set"	30	0.958333333333333	0.0947622554473629	0.0173011416361958	0.035384807717084
"Masood2010Example1"	4	"spy"	"Random"	25	"set"	30	0.975	0.0762821441573412	0.0139271503632789	0.0284842207534172
"Masood2010Example1"	4	"spy"	"Random"	30	"set"	30	0.991666666666667	0.0456435464587638	0.00833333333333333	0.0170435803511059
"Masood2010Example1"	4	"spy"	"Random"	35	"set"	30	0.991666666666667	0.0456435464587638	0.00833333333333333	0.0170435803511059
"Masood2010Example1"	4	"spy"	"Random"	40	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	45	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	50	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	55	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	60	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	65	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	70	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	75	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	80	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	85	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	90	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	95	"set"	30	1	0	0	0
"Masood2010Example1"	4	"spy"	"Random"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	1	"set"	1	0	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	5	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	10	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	15	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	20	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	25	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	30	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	35	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	40	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	45	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	50	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	55	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	60	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	65	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	70	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	75	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	80	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	85	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	90	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	95	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"Simple"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	1	"set"	1	0	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	5	"set"	1	0.75	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	10	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	15	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	20	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	25	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	30	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	35	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	40	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	45	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	50	"set"	1	1	NA	NA	NA
