"policy"	"mutants"	"method"	"Prioritization"	"percent"	"testsuite"	"N"	"effectiveness"	"sd"	"se"	"ci"
"Masood2010Example1"	4	"spy"	"RBAC"	55	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	60	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	65	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	70	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	75	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	80	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	85	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	90	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	95	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"spy"	"RBAC"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Random"	1	"set"	30	0.258333333333333	0.266549902597455	0.0486651314511436	0.0995313693821634
"Masood2010Example1"	4	"hsi"	"Random"	5	"set"	30	0.775	0.136930639376292	0.025	0.0511307410533176
"Masood2010Example1"	4	"hsi"	"Random"	10	"set"	30	0.866666666666667	0.126854065851231	0.023160277792655	0.0473680866615659
"Masood2010Example1"	4	"hsi"	"Random"	15	"set"	30	0.933333333333333	0.112444111277201	0.0205293920683813	0.0419873211932175
"Masood2010Example1"	4	"hsi"	"Random"	20	"set"	30	0.975	0.0762821441573412	0.0139271503632789	0.0284842207534172
"Masood2010Example1"	4	"hsi"	"Random"	25	"set"	30	0.983333333333333	0.0634270329256156	0.0115801388963275	0.0236840433307829
"Masood2010Example1"	4	"hsi"	"Random"	30	"set"	30	0.983333333333333	0.0634270329256156	0.0115801388963275	0.0236840433307829
"Masood2010Example1"	4	"hsi"	"Random"	35	"set"	30	0.991666666666667	0.0456435464587638	0.00833333333333333	0.0170435803511059
"Masood2010Example1"	4	"hsi"	"Random"	40	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	45	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	50	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	55	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	60	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	65	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	70	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	75	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	80	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	85	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	90	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	95	"set"	30	1	0	0	0
"Masood2010Example1"	4	"hsi"	"Random"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	1	"set"	1	0	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	5	"set"	1	0	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	10	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	15	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	20	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	25	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	30	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	35	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	40	"set"	1	0.75	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	45	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	50	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	55	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	60	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	65	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	70	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	75	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	80	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	85	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	90	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	95	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"Simple"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	1	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	5	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	10	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	15	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	20	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	25	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	30	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	35	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	40	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	45	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	50	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	55	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	60	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	65	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	70	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	75	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	80	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	85	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	90	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	95	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"hsi"	"RBAC"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Random"	1	"set"	30	0.575	0.209165006633519	0.0381881307912987	0.0781034970720046
"Masood2010Example1"	4	"w"	"Random"	5	"set"	30	0.908333333333333	0.12253312946339	0.0223713863495999	0.0457546224978047
"Masood2010Example1"	4	"w"	"Random"	10	"set"	30	0.983333333333333	0.0634270329256156	0.0115801388963275	0.0236840433307829
"Masood2010Example1"	4	"w"	"Random"	15	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	20	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	25	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	30	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	35	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	40	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	45	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	50	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	55	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	60	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	65	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	70	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	75	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	80	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	85	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	90	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	95	"set"	30	1	0	0	0
"Masood2010Example1"	4	"w"	"Random"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	1	"set"	1	0	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	5	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	10	"set"	1	0.5	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	15	"set"	1	0.75	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	20	"set"	1	0.75	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	25	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	30	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	35	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	40	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	45	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	50	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	55	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	60	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	65	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	70	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	75	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	80	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	85	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	90	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	95	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"Simple"	100	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	1	"set"	1	0.75	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	5	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	10	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	15	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	20	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	25	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	30	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	35	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	40	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	45	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	50	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	55	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	60	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	65	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	70	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	75	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	80	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	85	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	90	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	95	"set"	1	1	NA	NA	NA
"Masood2010Example1"	4	"w"	"RBAC"	100	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Random"	1	"set"	30	0.714285714285714	0.112548371022619	0.0205484272065165	0.0420262524219736
"SeniorTraineeDoctor"	7	"spy"	"Random"	5	"set"	30	0.938095238095238	0.0894374736541847	0.016328973935557	0.0333965015186134
"SeniorTraineeDoctor"	7	"spy"	"Random"	10	"set"	30	0.966666666666667	0.0614547238788681	0.0112200461779025	0.0229475710291439
"SeniorTraineeDoctor"	7	"spy"	"Random"	15	"set"	30	0.990476190476191	0.0362440188146375	0.00661722222647287	0.0135337390461617
"SeniorTraineeDoctor"	7	"spy"	"Random"	20	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	25	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	30	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	35	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	40	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	45	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	50	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	55	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	60	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	65	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	70	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	75	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	80	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	85	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	90	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	95	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"spy"	"Random"	100	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	1	"set"	1	0.571428571428571	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	5	"set"	1	0.571428571428571	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	10	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	15	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	20	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	25	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	30	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	35	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	40	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	45	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	50	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	55	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	60	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	65	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	70	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	75	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	80	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	85	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	90	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	95	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"Simple"	100	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	1	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	5	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	10	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	15	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	20	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	25	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	30	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	35	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	40	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	45	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	50	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	55	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	60	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	65	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	70	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	75	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	80	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	85	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	90	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	95	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"spy"	"RBAC"	100	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Random"	1	"set"	30	0.728571428571429	0.137075106417748	0.025026375952474	0.0511846859331568
"SeniorTraineeDoctor"	7	"hsi"	"Random"	5	"set"	30	0.947619047619048	0.0794362023953622	0.0145029999781619	0.0296619654551867
"SeniorTraineeDoctor"	7	"hsi"	"Random"	10	"set"	30	0.985714285714286	0.0435897966613378	0.00795837163615937	0.0162766975733813
"SeniorTraineeDoctor"	7	"hsi"	"Random"	15	"set"	30	0.990476190476191	0.0362440188146375	0.00661722222647287	0.0135337390461617
"SeniorTraineeDoctor"	7	"hsi"	"Random"	20	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	25	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	30	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	35	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	40	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	45	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	50	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	55	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	60	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	65	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	70	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	75	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	80	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	85	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	90	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	95	"set"	30	1	0	0	0
"SeniorTraineeDoctor"	7	"hsi"	"Random"	100	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	1	"set"	1	0.142857142857143	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	5	"set"	1	0.571428571428571	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	10	"set"	1	0.571428571428571	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	15	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	20	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	25	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	30	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	35	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	40	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	45	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	50	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	55	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	60	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	65	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	70	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	75	"set"	1	0.857142857142857	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	80	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	85	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	90	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	95	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"Simple"	100	"set"	1	1	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"RBAC"	1	"set"	1	0.428571428571429	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"RBAC"	5	"set"	1	0.714285714285714	NA	NA	NA
"SeniorTraineeDoctor"	7	"hsi"	"RBAC"	10	"set"	1	0.714285714285714	NA	NA	NA
