Scenario	RBAC	Simple	Random
Masood2010Example1 + HSI	0.952380952380952	0.726190476190476	0.917460317460318
Masood2010Example1 + SPY	0.916666666666667	0.785714285714286	0.907539682539683
Masood2010Example1 + W	0.964285714285714	0.857142857142857	0.950793650793651
SeniorTraineeDoctor + HSI	0.921768707482993	0.77891156462585	0.959637188208617
SeniorTraineeDoctor + SPY	0.962585034013606	0.826530612244898	0.957596371882086
SeniorTraineeDoctor + W	0.969387755102041	0.874149659863946	0.96530612244898
ExperiencePointsv2 + HSI	0.960714285714286	0.967460317460317	0.966488095238095
ExperiencePointsv2 + SPY	0.974603174603175	0.969444444444444	0.970972222222222
ExperiencePointsv2 + W	0.973214285714286	0.970039682539683	0.970357142857143
Masood2009P2v2 + HSI	0.797308488612836	0.772912353347136	0.777857142857143
Masood2009P2v2 + SPY	0.819185645272602	0.794824016563147	0.801187025534852
Masood2009P2v2 + W	0.811318150448585	0.788750862663906	0.797660455486543
user11roles2_v2 + HSI	0.706166056166056	0.676984126984127	0.675677655677656
user11roles2_v2 + SPY	0.922222222222222	0.794322344322344	0.856068376068376
user11roles2_v2 + W	0.646581196581197	0.641697191697192	0.638498168498169
